
source_board_name,source_url,provider_name,provider_legal_name,provider_type,description,street_1,street_2,city,state,zip,county,phone,fax,email,website,intake_phone,hours,services_raw,payment_raw,telehealth_available,languages_raw,populations_raw,level_of_care_raw,mat_options_raw,peer_support_available,peer_services_raw,npi,license_raw,last_verified_date,verified_status,verification_evidence,notes
"Adams, Lawrence & Scioto ADAMHS Board",https://www.adamhsals.org/network.html,Adams County Health Department,,,,,,,OH,,Adams,937-544-5547,,,,,,Substance Use Disorder Services; Mental Health Services,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
Ashland County Mental Health and Recovery Board,https://www.ashlandmhrb.org/places/,Ashland County Council on Alcoholism and Drug Abuse (ACCADA),,,,310 College Avenue,,Ashland,OH,44805.0,Ashland,419-289-7675,,,accada-rap.org,,,Alcohol and Drug Abuse services,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
Ashland County Mental Health and Recovery Board,https://www.ashlandmhrb.org/places/,Appleseed Community Mental Health Center,,,,2233 Rocky Ln,,Ashland,OH,44805.0,Ashland,419-281-3716,,,appleseedmentalhealth.com,,,Community mental health services,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
Ashland County Mental Health and Recovery Board,https://www.ashlandmhrb.org/places/,Catholic Charities of Ashland County – Diocese of Cleveland,,,,34 West 2nd Street,,Ashland,OH,44805.0,Ashland,419-289-1903,,,ccdocle.org,,,Counseling and social services,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
Ashland County Mental Health and Recovery Board,https://www.ashlandmhrb.org/places/,ACE Wellness Center Ashland,,,,1638 Eagle Way,,Ashland,OH,44805.0,Ashland,419-903-0202,,,acewellnessashland.com,,,Wellness center,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
Ashland County Mental Health and Recovery Board,https://www.ashlandmhrb.org/places/,Advocates For Families,,,,1763 Ohio 60,,Ashland,OH,,Ashland,419-281-3788,,,advocatesforfamilies.org,,,Family advocacy services,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
Ashland County Mental Health and Recovery Board,https://www.ashlandmhrb.org/places/,Cornerstone Counseling of Ashland,,,,502 Claremont Ave,,Ashland,OH,44805.0,Ashland,419-289-1876,,,,,,Counseling services,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
Ashland County Mental Health and Recovery Board,https://www.ashlandmhrb.org/places/,Encompass Christian Counseling,,,,1590 Crestview Dr,,Ashland,OH,44805.0,Ashland,419-289-0970,,,,,,Christian counseling,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
Ashland County Mental Health and Recovery Board,https://www.ashlandmhrb.org/places/,Family Life Counseling & Psychiatric Services,,,,127 N Water St,,Loudonville,OH,44842.0,Ashland,567-560-3585,,,,,,Family counseling & psychiatric services,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
Ashland County Mental Health and Recovery Board,https://www.ashlandmhrb.org/places/,HOPE419,,,,626 E Main St,,Ashland,OH,,Ashland,419-951-2020,,,,,,Counseling and support services,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
Ashland County Mental Health and Recovery Board,https://www.ashlandmhrb.org/places/,"John Jorden, Psychologist",,,,432 Center Street,,Ashland,OH,44805.0,Ashland,419-289-8100,,,,,,Psychological services,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
Ashland County Mental Health and Recovery Board,https://www.ashlandmhrb.org/places/,Smetzer Counseling Center,,,,910 Center Street,,Ashland,OH,44805.0,Ashland,419-207-5558,,,,,,Counseling services,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
Ashland County Mental Health and Recovery Board,https://www.ashlandmhrb.org/places/,Adina Fox Services,,,,19 West Main Street #16,,Ashland,OH,44805.0,Ashland,419-564-9490,,,,,,Counseling services,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
Ashtabula County MHRS Board,https://www.ashtabulamhrs.org/contract-providers/,Cadence Care,,,,165 E. Park Avenue,,Niles,OH,44446.0,Ashtabula,330-544-8005,,,,,,Behavioral health services,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
Ashtabula County MHRS Board,https://www.ashtabulamhrs.org/contract-providers/,Catholic Charities of Ashtabula County,,,,4200 Park Avenue,,Ashtabula,OH,44004.0,Ashtabula,440-992-2121,,,,,,Charity services,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
Ashtabula County MHRS Board,https://www.ashtabulamhrs.org/contract-providers/,Coleman Professional Services,,,,5982 Rhodes Road,,Kent,OH,44240.0,Ashtabula,330-673-1347,,,,,,Behavioral health services,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
Ashtabula County MHRS Board,https://www.ashtabulamhrs.org/contract-providers/,Community Counseling Center,,,,2801 C Court,,Ashtabula,OH,44004.0,Ashtabula,440-998-4210,,,,,,Counseling services,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
Ashtabula County MHRS Board,https://www.ashtabulamhrs.org/contract-providers/,Family Pride,,,,1110 Lake Ave.,,Ashtabula,OH,44004.0,Ashtabula,440-536-5680,,,,,,Family services,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
Ashtabula County MHRS Board,https://www.ashtabulamhrs.org/contract-providers/,Forensic Psychiatric Center of NE Ohio,,,,"5212 Mahoning Ave., #317",,Youngstown,OH,44515.0,Ashtabula,330-792-1918,,,,,,Forensic psychiatric services,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
Ashtabula County MHRS Board,https://www.ashtabulamhrs.org/contract-providers/,Glenbeigh Hospital,,,,PO Box 298,,Rock Creek,OH,44084.0,Ashtabula,440-563-3400,,,,,,Hospital and addiction recovery services,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
Ashtabula County MHRS Board,https://www.ashtabulamhrs.org/contract-providers/,Help Network of Northeast Ohio,,,,PO Box 46,,Youngstown,OH,44501.0,Ashtabula,800-577-7849,,,,,,Help network and crisis line,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
Ashtabula County MHRS Board,https://www.ashtabulamhrs.org/contract-providers/,Lake Area Recovery Center,,,,2801 C Court,,Ashtabula,OH,44004.0,Ashtabula,440-998-0722,,,,,,Recovery services,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
Ashtabula County MHRS Board,https://www.ashtabulamhrs.org/contract-providers/,"Signature Health, Inc.",,,,4726 Main Avenue,,Ashtabula,OH,44004.0,Ashtabula,440-992-8552,,,,,,Behavioral health services,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
